alias,season,tour,edition_id,comment
western & southern financial group masters @ new york,2020,atp,2020-M024,Cincinnati Masters played in NY due to covid
western & southern financial group women s open @ new york,2020,wta,wta-2020-M024,Cincinnati played in NY due to covid
brasil open @ salvador,2001,atp,2001-533,Sackmann names it Costa Do Sauipe
brasil open @ salvador,2002,atp,2002-533,Sackmann names it Costa Do Sauipe
adelaide international @ adelaide,2020,atp,2020-0301,tennis-data 2020 swapped Adelaide and Auckland labels
asb classic @ auckland,2020,atp,2020-M056,tennis-data 2020 swapped Adelaide and Auckland labels
vtr open @ vina del mar,2012,atp,2012-505,Sackmann keeps the Santiago id for the relocated event
mercury insurance open @ carlsbad,2011,wta,wta-2011-W-PR-USA-03A-2011,Carlsbad edition of the San Diego event
volvo car open @ charleston,2021,wta,wta-2021-804,first of two 2021 Charleston weeks
musc health women s open @ charleston,2021,wta,wta-2021-2033,second of two 2021 Charleston weeks
japan women s tennis open @ tokyo,2015,wta,wta-2015-W-INT-JPN-01A-2015,International-level Tokyo week before the Premier
japan women s tennis open @ tokyo,2016,wta,wta-2016-0405,Japan Open week before the Premier Tokyo
japan women s tennis open @ tokyo,2017,wta,wta-2017-0405,Japan Open week before the Premier Tokyo
bett1hulks indoors @ cologne,2020,atp,2020-9404,first Cologne week
bett1hulks championship @ cologne,2020,atp,2020-9406,second Cologne week
citi open @ college park,2011,wta,wta-2011-W-INT-USA-02A-2011,College Park MD edition of the Washington event
mallorca open @ mallorca,2017,wta,wta-2017-1091,Sackmann names it Calvia
sp open @ sao paulo,2025,wta,wta-2025-1139,short name collides with Us Open
vtr open @ vina del mar,2013,atp,2013-505,Sackmann keeps the Santiago id for the relocated event
portugal open @ oeiras,2013,atp,2013-468,Sackmann names it Estoril
portugal open @ oeiras,2014,atp,2014-468,Sackmann names it Estoril
napoli cup @ napoli,2022,atp,2022-2809,Naples scores just under the accept threshold
mercury insurance open @ carlsbad,2012,wta,wta-2012-W-PR-USA-03A-2012,Carlsbad edition of the San Diego event
sony ericsson championships @ singapore,2014,wta,wta-2014-W-WT-SIN-01A-2014,WTA Finals
sony ericsson championships @ singapore,2015,wta,wta-2015-W-WT-SIN-01A-2015,WTA Finals
toray pan pacific open @ tokyo,2015,wta,wta-2015-W-P700-JPN-01A-2015,Premier Tokyo week after the International
toray pan pacific open @ tokyo,2016,wta,wta-2016-1056,Premier Tokyo week after the Japan Open
toray pan pacific open @ tokyo,2017,wta,wta-2017-1056,Premier Tokyo week after the Japan Open
