alias,tour,player_id,player_name
Ramos-Vinolas A.,atp,105077,Albert Ramos
Dolgopolov O.,atp,105238,Alexandr Dolgopolov
Bautista R.,atp,105138,Roberto Bautista Agut
O Connell C.,atp,106331,Christopher Oconnell
Bogomolov A.,atp,104166,Alex Bogomolov Jr
Estrella Burgos V.,atp,103607,Victor Estrella
Navarro-Pastor I.,atp,103868,Ivan Navarro
Mpetshi G.,atp,208659,Giovanni Mpetshi Perricard
Bu Y.,atp,207352,Bu Yunchaokete
Cervantes I.,atp,105438,Inigo Cervantes Huegun
Wang Y.T.,atp,103817,Yu Jr Wang
Barrios M.,atp,144642,Tomas Barrios Vera
Del Bonis F.,atp,105643,Federico Delbonis
Viloca J.A.,atp,102167,Juan Albert Viloca Puig
Bahrouzyan O.,atp,103914,Omar Awadhy
Al Ghareeb M.,atp,103600,Mohammad Ghareeb
Dell'Acqua M.,atp,103435,Massimo Dellacqua
Salva B.,atp,104831,Bartolome Salva Vidal
Riske A.,wta,10201590,Alison Riske Amritraj
Zakopalova K.,wta,10201344,Klara Koukalova
Zahlavova Strycova B.,wta,10201366,Barbora Strycova
Zahlavova Strycova B..,wta,10201366,Barbora Strycova
Gavrilova D.,wta,10201611,Daria Saville
Kozlova K.,wta,10203462,Kateryna Baindl
Mayr P.,wta,10201537,Patricia Mayr Achleitner
Gallovits E.,wta,10201365,Edina Gallovits Hall
Kuzmova V.,wta,10214149,Viktoria Hruncakova
Cadantu A.,wta,10202456,Alexandra Cadantu Ignatik
Olaru I.,wta,10201494,Raluca Olaru
Larcherde Brito M.,wta,10201547,Michelle Larcher De Brito
Groth J.,wta,10201457,Jarmila Gajdosova
Lucic-Baroni M.,wta,10200002,Mirjana Lucic
Foretz S.,wta,10200773,Stephanie Foretz Gacon
Mattek B.,wta,10201318,Bethanie Mattek Sands
Sanders S.,wta,10204411,Storm Hunter
Manasieva V.,wta,10201570,Vesna Dolonc
Dolonts V.,wta,10201570,Vesna Dolonc
Mitu A.,wta,10202671,Cristina Andreea Mitu
Arruabarrena-Vecino L.,wta,10202418,Lara Arruabarrena
O'Brien K.,wta,10201396,Katie Obrien
Kerkhove L.,wta,10204246,Lesley Pattinama Kerkhove
Bassols M.,wta,10215453,Marina Bassols Ribera
Badosa Gibert P.,wta,10211651,Paula Badosa
Muguruza Blanco G.,wta,10202469,Garbine Muguruza
Kostanic J.,wta,10200056,Jelena Kostanic Tosic
El Allami Zhara F.,wta,10201642,Fatima El Allami
Bolsova Zadoinov A.,wta,10211901,Aliona Bolsova
Melzer I.,wta,10201331,Iveta Benesova
Jimenez V.,wta,10223286,Victoria Jimenez Kasintseva
Bogomolov Jr.A.,atp,104166,Alex Bogomolov Jr
Mecir M.,atp,105080,Miloslav Mecir Jr
Dev Varman S.,atp,104500,Somdev Devvarman
Robredo R.,atp,103990,Tommy Robredo
Silva F.F.,atp,106393,Frederico Ferreira Silva
Dedura D.,atp,212309,Diego Dedura Palomero
Nadal-Parera R.,atp,104745,Rafael Nadal
Gallardo M.,atp,103746,Miguel Gallardo Valles
Wang Y. Jr,atp,103817,Yu Jr Wang
O'Brien A.,atp,101711,Alex Obrien
Badosa Gibert. P.,wta,10211651,Paula Badosa
Osorio Serrano M.C.,wta,10215785,Camila Osorio
Burillo I.,wta,10213706,Irene Burillo Escorihuela
Maristany G.,wta,10215571,Guiomar Maristany Zuleta De Reales
Pous-T. L.,wta,10201440,Laura Pous Tio
Lu Jing Jing,wta,10201582,Jing Jing Lu
Lu Jia-Jing,wta,10203288,Jia Jing Lu
